LOCA	month	day	crop_trial	trial	type_plant	transect	p_genera	p_species	order	po_fam	po_genera	po_species	Identified	Abundance
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	APIDAE	Eucera	Eucera_obliterata	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	HALICTIDAE	Lasioglossum	Lasioglossum_discum_fertoni	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	HALICTIDAE	Lasioglossum	Lasioglossum_discum_fertoni	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	HALICTIDAE	Lasioglossum	Lasioglossum_discum_fertoni	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	HALICTIDAE	Lasioglossum	Lasioglossum_malachurum	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	HALICTIDAE	Lasioglossum	Lasioglossum_malachurum	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	MEGACHILIDAE	Osmia	Osmia_notata	Yes	1
Mzamza_Janoubia	5	6	Solanum_melongena	C1	Wild	HT	Silybum	Silybum_marianum	HYMENOPTERA	HALICTIDAE	Vestitohalictus	Vestitohalictus_pollinosus_thevestensis	Yes	1
Oueled_Sghir	2	13	Vicia_faba	C1	Crop	T1	Vicia	Vicia_faba	INSECTA	INSECTA	INSECTA	INSECTA	No	1
Oueled_Sghir	2	13	Vicia_faba	C1	Crop	T1	Vicia	Vicia_faba	HYMENOPTERA	ANDRENIDAE	Andrena	Andrena_flavipes	Yes	1
Oueled_Sghir	2	13	Vicia_faba	C1	Crop	T1	Vicia	Vicia_faba	HYMENOPTERA	APIDAE	Anthophora	Anthophora_fulvitarsis	Yes	1
