	Andrena_(Micrandrena)__sp.	Andrena__sp.	Andrena_abjecta	Andrena_aerinifrons	Andrena_bicolorata	Andrena_exigua	Andrena_flavipes	Andrena_fulvicornis	Andrena_impunctata	Andrena_innesi	Andrena_labialis	Andrena_morio	Andrena_nigroolivacea	Andrena_numida	Andrena_obsoleta	Andrena_purpurascens	Andrena_spolata	Andrena_tenuistriata	Andrena_varia	Andrena_verticalis	Anthophora_atroalba	Anthophora_calcarata	Anthophora_dispar	Anthophora_fulvitarsis	Anthophora_pubescens	Anthophora_senescens	Apis_mellifera	Bombus_terrestris	Bombus_terrestris_africanus	Cerceris__sp.	Dasypoda_visnaga	Dasyscolia_ciliata	DIPTERA_SYRPHIDAE	Eucera__sp.	Eucera_dimidiata	Eucera_eucnemidea	Eucera_hispana	Eucera_nigrilabris	Eucera_numida	Eucera_oraniensis	Halictinae_Halictini	Hylaeus_clypearis	Hylaeus_cornutus	Hylaeus_gredleri	Hylaeus_sulphuripes	Hylaeus_taeniolatus	HYMENOPTERA_APOIDEA	HYMENOPTERA_SPHECIDAE	HYMENOPTERA_SYMPHYTA	INSECTA	Lasioglossum_algericolellum	Lasioglossum_interruptum	Lasioglossum_malachurum	Lasioglossum_subhirtum	LEPIDOPTERA	Megachilinae_Osmiini	Melecta__sp.	Nomada__sp.	Nomada_agrestis	Nomada_bifasciata	Osmia_caerulescens	Osmia_latreillei	Osmia_submicans	Osmia_tingitana	Osmia_tricornis	Oxybelus__sp.	Panurginus__sp.	SCOLIOIDEA_SCOLIIDAE	Sphecodes__sp.	Sphingidae	Thyreus__sp.	Tiphia__sp.	Vespa_crabro	VESPOIDEA_POMPILIDAE	Xylocopa_pubescens
Brassica_napus	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carduus_pycnocephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Coriandrum_sativum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Eruca_sativa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Linum_usitatissimum	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MHEP_Brassica_napus	0	0	1	21	7	0	22	1	0	0	0	1	1	2	16	7	0	0	20	7	0	0	0	3	0	0	1	0	1	0	0	35	12	0	0	0	0	5	2	1	0	0	0	0	2	1	0	0	1	0	0	2	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0
MHEP_Coriandrum_sativum	1	0	0	0	1	0	14	1	0	0	0	0	0	0	3	1	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	47	16	0	0	0	0	0	0	0	0	1	2	2	7	3	0	13	0	0	10	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0
MHEP_Linum_usitatissimum	0	0	0	2	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0
MHEP_Salvia_hispanica	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	3	0	1	1	4	0	0	0	0	0	1	0	0	0	1
Papaver_rhoeas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rosmarinus_officinalis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
